review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
466491704,review_statistic,https://api.wanikani.com/v2/review_statistics/466491704,2025-08-10 12:59:45.842390+00:00,2025-02-10 12:41:41.389649+00:00,483,kanji,10,1,10,10,10,1,9,9,91,False
466493382,review_statistic,https://api.wanikani.com/v2/review_statistics/466493382,2025-08-06 02:15:43.589948+00:00,2025-02-10 12:43:23.142319+00:00,51,radical,8,0,8,8,8,0,8,8,100,False
466493390,review_statistic,https://api.wanikani.com/v2/review_statistics/466493390,2025-08-06 01:39:57.028093+00:00,2025-02-10 12:43:26.038822+00:00,2506,vocabulary,8,0,8,8,8,0,8,8,100,False
466493405,review_statistic,https://api.wanikani.com/v2/review_statistics/466493405,2025-08-06 02:23:36.945755+00:00,2025-02-10 12:43:33.930001+00:00,52,radical,8,0,8,8,8,0,8,8,100,False
466493467,review_statistic,https://api.wanikani.com/v2/review_statistics/466493467,2025-10-21 11:16:09.561886+00:00,2025-02-10 12:44:10.460880+00:00,3402,vocabulary,19,4,7,7,19,1,15,15,88,False
466493548,review_statistic,https://api.wanikani.com/v2/review_statistics/466493548,2025-08-06 01:40:32.935306+00:00,2025-02-10 12:44:14.634011+00:00,484,kanji,8,0,8,8,8,0,8,8,100,False
467103188,review_statistic,https://api.wanikani.com/v2/review_statistics/467103188,2025-10-02 00:47:04.560582+00:00,2025-02-11 12:46:56.314287+00:00,53,radical,11,1,6,5,11,0,11,11,96,False
467103252,review_statistic,https://api.wanikani.com/v2/review_statistics/467103252,2025-08-10 12:58:25.418748+00:00,2025-02-11 12:47:25.091835+00:00,8958,vocabulary,9,0,9,9,9,1,9,9,95,False
467103291,review_statistic,https://api.wanikani.com/v2/review_statistics/467103291,2025-08-06 12:09:37.008343+00:00,2025-02-11 12:47:43.756748+00:00,9177,kana_vocabulary,8,0,8,8,8,0,8,8,100,False
467103307,review_statistic,https://api.wanikani.com/v2/review_statistics/467103307,2025-08-06 22:13:35.126079+00:00,2025-02-11 12:47:49.383797+00:00,7560,vocabulary,8,0,8,8,8,0,8,8,100,False
467103338,review_statistic,https://api.wanikani.com/v2/review_statistics/467103338,2025-11-07 23:52:42.141682+00:00,2025-02-11 12:47:58.937867+00:00,460,kanji,8,0,8,8,8,0,8,8,100,False
467103459,review_statistic,https://api.wanikani.com/v2/review_statistics/467103459,2025-08-06 12:37:31.241321+00:00,2025-02-11 12:49:06.735370+00:00,9178,kana_vocabulary,8,0,8,8,8,0,8,8,100,False
467103497,review_statistic,https://api.wanikani.com/v2/review_statistics/467103497,2025-08-11 22:27:24.760229+00:00,2025-02-11 12:49:20.518696+00:00,461,kanji,12,0,12,12,12,2,9,9,92,False
467103536,review_statistic,https://api.wanikani.com/v2/review_statistics/467103536,2025-08-06 22:02:48.100826+00:00,2025-02-11 12:49:33.758858+00:00,2517,vocabulary,8,0,8,8,8,0,8,8,100,False
467103548,review_statistic,https://api.wanikani.com/v2/review_statistics/467103548,2025-08-06 12:31:44.885873+00:00,2025-02-11 12:49:39.842302+00:00,55,radical,8,0,8,8,8,0,8,8,100,False
467103565,review_statistic,https://api.wanikani.com/v2/review_statistics/467103565,2025-08-10 12:57:07.940365+00:00,2025-02-11 12:49:46.583459+00:00,2492,vocabulary,9,1,9,9,9,0,9,9,95,False
467103709,review_statistic,https://api.wanikani.com/v2/review_statistics/467103709,2025-08-06 22:20:32.844569+00:00,2025-02-11 12:50:47.776175+00:00,463,kanji,8,0,8,8,8,0,8,8,100,False
467103722,review_statistic,https://api.wanikani.com/v2/review_statistics/467103722,2025-08-06 12:38:28.185476+00:00,2025-02-11 12:50:56.001029+00:00,462,kanji,8,0,8,8,8,0,8,8,100,False
467103735,review_statistic,https://api.wanikani.com/v2/review_statistics/467103735,2025-08-10 03:13:13.735524+00:00,2025-02-11 12:51:01.557133+00:00,2518,vocabulary,10,0,10,10,10,1,9,9,95,False
