snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,3763,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,287.2573508038426,6.978336797245371,1,1,0,0,1
2026-04-21,8670,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,287.257350723669,83.456165965625,1,2,0,0,1
2026-04-21,9166,vocabulary,6,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.69096790189815,101.3429936711574,1,3,0,0,1
2026-04-21,7543,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4759945809838,86.36697792164352,1,1,0,0,1
2026-04-21,3758,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4759658348727,90.43625268900463,1,1,0,0,2
2026-04-21,3753,vocabulary,15,8,95.0,21.0,1.0,0.09090909090909091,0.0,3.0,10.0,7.0,10.0,286.47544570481483,46.43052649878472,1,1,0,0,1
2026-04-21,3776,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.47533719265044,90.43167660297453,1,1,0,0,1
2026-04-21,3740,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.47518941363427,92.40011056378472,1,1,0,0,1
2026-04-21,3742,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4751893405324,92.39927239309027,1,2,0,0,2
2026-04-21,3789,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.47513246461807,88.92327942743056,1,2,0,0,1
2026-04-21,3790,vocabulary,15,9,92.0,24.0,2.0,0.08333333333333333,0.08333333333333333,5.0,5.0,6.0,6.0,286.47513239875,37.3597952519676,1,2,0,0,2
2026-04-21,3791,vocabulary,15,8,91.0,22.0,2.0,0.0,0.16666666666666666,10.0,3.0,10.0,7.0,286.47513233540514,44.97864463421296,1,2,0,0,2
2026-04-21,3792,vocabulary,15,9,96.0,23.0,1.0,0.08333333333333333,0.0,5.0,11.0,6.0,11.0,286.475132273125,37.36320148826389,1,2,0,0,2
2026-04-21,3745,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4747457468171,90.43272919790509,1,2,0,0,1
2026-04-21,944,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4741414337153,101.29328817780093,1,2,15,1,0
2026-04-21,3943,vocabulary,15,9,96.0,23.0,1.0,0.0,0.08333333333333333,11.0,6.0,11.0,6.0,286.4737748954167,62.90512554475695,1,1,0,0,1
2026-04-21,3681,vocabulary,15,6,86.0,44.0,6.0,0.0,0.24,19.0,2.0,19.0,7.0,286.4736107033796,10.354030423032407,1,1,0,0,1
2026-04-21,3682,vocabulary,15,7,92.0,26.0,2.0,0.14285714285714285,0.0,3.0,12.0,7.0,12.0,286.47361061432866,24.488343241493055,1,2,0,0,1
2026-04-21,3683,vocabulary,15,8,84.0,38.0,6.0,0.1111111111111111,0.2,3.0,9.0,13.0,9.0,286.4736105429861,34.28892769452546,1,2,0,0,1
2026-04-21,2083,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4735874138426,101.29312459475695,1,1,5,1,0
2026-04-21,3743,vocabulary,15,9,96.0,23.0,1.0,0.0,0.08333333333333333,11.0,5.0,11.0,6.0,286.4734058417361,38.93780513508102,1,1,0,0,1
2026-04-21,3744,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4734057575694,90.4360434881713,1,2,0,0,2
2026-04-21,3767,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.47337131868056,90.42428456645833,1,1,0,0,2
2026-04-21,8707,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4733712419908,83.4244534605787,1,1,0,0,2
2026-04-21,3732,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.4722992313426,92.39931249076389,1,1,0,0,2
2026-04-21,3733,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.47229916091436,14.188507530219908,1,2,0,0,2
2026-04-21,3734,vocabulary,15,9,95.0,19.0,1.0,0.0,0.1,9.0,9.0,9.0,9.0,286.47229908847225,92.39690697010417,1,2,0,0,2
2026-04-21,3735,vocabulary,15,9,93.0,28.0,2.0,0.07142857142857142,0.07142857142857142,12.0,5.0,12.0,8.0,286.472299016956,38.947489336875,1,2,0,0,3
2026-04-21,3736,vocabulary,15,9,95.0,21.0,1.0,0.0,0.09090909090909091,10.0,9.0,10.0,9.0,286.47229895233795,48.93327038486111,1,2,0,0,2
2026-04-21,3737,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,286.472298886875,92.39794282201389,1,2,0,0,2
2026-04-21,3738,vocabulary,15,7,90.0,31.0,3.0,0.06666666666666667,0.125,5.0,3.0,9.0,8.0,286.4722988021181,23.46947618738426,1,2,0,0,2
2026-04-21,867,kanji,15,8,93.0,28.0,2.0,0.07142857142857142,0.07142857142857142,5.0,6.0,8.0,7.0,286.4721117806829,34.285233604641206,1,2,7,2,0
2026-04-21,949,kanji,15,9,95.0,21.0,1.0,0.09090909090909091,0.0,8.0,10.0,8.0,10.0,285.4604851603357,98.45950481474537,1,2,14,2,0
2026-04-21,3768,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,285.44867168736107,54.75546828449074,1,1,0,0,1
2026-04-21,3769,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,285.4486716366783,90.43238712711805,1,2,0,0,2
2026-04-21,3770,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,285.4486715715625,90.43127457178241,1,2,0,0,3
2026-04-21,3771,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,285.44867152244217,83.45706851626157,1,3,0,0,1
